494, 0.37
496, 0.36
498, 0.40
500, 0.35
502, 0.26
504, 0.34
506, 0.29
508, 0.46
510, 0.35
512, 0.37
514, 0.35
516, 0.30
518, 0.35
520, 0.30
522, 0.40
524, 0.51
526, 0.34
528, 0.40
530, 0.31
532, 0.42
534, 0.29
536, 0.40
538, 0.32
541, 0.32
543, 0.38
545, 0.39
547, 0.34
549, 0.38
551, 0.30
553, 0.32
555, 0.30
557, 0.28
559, 0.37
561, 0.52
563, 0.26
565, 0.45
567, 0.31
569, 0.28
571, 0.33
573, 0.34
575, 0.32
577, 0.32
579, 0.30
581, 0.34
583, 0.26
585, 0.36
587, 0.42
589, 0.27
591, 0.30
593, 0.28
595, 0.35
597, 0.97
599, 0.47
601, 0.60
603, 0.46
605, 0.50
607, 0.36
609, 0.29
611, 0.38
613, 0.39
615, 0.33
617, 0.50
619, 0.48
622, 0.34
624, 0.35
626, 0.28
628, 0.40
630, 0.32
632, 0.33
634, 0.25
636, 0.35
638, 0.42
640, 0.35
642, 0.27
644, 0.32
646, 0.35
648, 0.33
650, 0.28
652, 0.32
654, 0.32
656, 0.29
658, 0.31
660, 0.41
662, 0.34
664, 0.40
666, 0.32
668, 0.34
670, 0.36
672, 0.30
674, 0.34
676, 0.42
678, 0.34
680, 0.36
682, 0.46
684, 0.36
686, 0.34
688, 0.50
690, 0.29
692, 0.29
694, 0.29
696, 0.30
698, 0.48
700, 0.40
702, 0.39
704, 0.52
707, 0.38
709, 0.34
711, 0.39
713, 0.30
